Sr. No.,College Name,University Name,District,Taluka,Exclusively in Womens Colleges,"College Types","(Report no 5)
Whether Minority Institution (Yes/No)","Linguistic/
Religious_Type",JD Region,Correspondence Address,Email,Contact Phone 1,Contact Phone 2,Mobile,Principal Name,College Type
240,Prabodhankar Mahila MahavidyalayaTilak ward Ramtek,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Ramtek,Girls,Rural,No,Select,Nagpur,Near Bus-Stop Tilak Ward Ramtek Dist Nagpur-441106,prabodhankarmahilacollege@gmail.com,-8080475950,-8080475950,8080476041,Dr. Suresh Bhagwat,Non-Aided
241,Prabhakar Patil Education Society’s College of Education Near Gokuleshwar Mandir Veshvi Lake Vesh,Mumbai University Mumbai,Raigad,Alibag,Co-Education,Rural,No,Select,Panvel,Near Gokuleshwar Mandir in front of veshvi LakeVeshvi-Alibag Raigad 402 209,pnpeducation.bedprincipal@gmail.com,02141-634768,02141-634768,9975056647,Mr.Nitesh Bhaskar More,Non-Aided
242,Zunjar bahuuddeshiya sevabhavi sanstha Jivan shikshan science college Kaij.,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Kaij,Co-Education,Urban,No,Select,Aurangabad,Kaij beed road kaij,zbsskaij@gmail.com,0,-7020101148,7020101239,HANDIBAG DATTRAYA BALASAHEB,Non-Aided
243,Hinduhridaysamrat Mananiya Balasaheb Thackeray Arts Commerce & Science College Pohegaon,Savitribai Phule Pune University Pune,Ahmednagar,Kopargaon,Co-Education,Rural,No,Select,Pune,Pohegaon Tal-Kopargaon Dist-Ahmednagar,smkgrap@gmail.com,2423275900,-9404402287,9404402287,Dr.Jawale Shantilal Ramdas,Non-Aided
244,Waghire College of Arts Commerce and Science Saswad Dist-Pune 412301,Savitribai Phule Pune University Pune,Pune,Purandhar,Co-Education,Rural,No,Select,Pune,At Post: Saswad Tal: Purandhar Dist Pune 412 301,wc_saswad@pdeapune.org,02115-222524,02115-222524,9764425055,Dr. Sushama Jayant Bhosale,Aided
245,S.M. Dr. D.Y. Patil Shikshan Sanstha Dr.D.Y.Patil College of Computer & Business StudiesChinchwad,Savitribai Phule Pune University Pune,Pune,Pune City,Co-Education,Urban,No,Select,Pune,162-G/PShahunagarChinchwadMIDC,principaldypatil@gmail.com,020-27490299,020-27490299,9545556960,DR. MEGHA DESHMUKH,Non-Aided
246,Saraswati Mahila Mahavidyalaya Saoner,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Sawner,Girls,Rural,No,Select,Nagpur,NAIK LAYOUT PANDHURNA ROAD SAONER TAH SAONER DIST NAGPUR PIN 441501,saraswatimahila9@gmail.com,91-9552567924,91-9552567924,9552567924,Mrs. NEETA MAHESH INGOLE,Non-Aided
247,Smt. L.R.T. College of Commerce Akola.,Sant Gadge Baba Amravati University Amravati,Akola,Akola,Co-Education,Urban,No,Select,Amravati,Ratanlal Plot Ram Nagar Akola (Maharashtra)444001,lrtcc@rediffmail.com,0724-2400197,0724-2457224,9422860394,Dr. Shriprabhu Gulabrao Chapke,Aided
248,Vishwaratna Prashaskiya Mahavidyalay Tal-Bhoom Dist- Osmanabad,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Osmanabad,Bhoom,Co-Education,Rural,No,Select,Aurangabad,ieetieet,vishwaratna2020@gmail.com,-9527115555,-9527115555,9921621333,Suchita Ramraje Deshmukh,Non-Aided
249,Shri Vasantrao Naik Mahavidyalaya Dharni,Sant Gadge Baba Amravati University Amravati,Amravati,Dharni,Co-Education,Tribal,No,Select,Amravati,Principal Shri.Vasantrao Naik MahavidyalayaDharni (Kusumkot Bk.),svnm129@sgbau.ac.in,07226-224113,07226-224113,9422520032,Dr. M. A. Pawar,Aided
250,Dr. Mumtaz Ahmed Khan College of Education,Savitribai Phule Pune University Pune,Pune,Ambegaon,Co-Education,Rural,Yes,Religious,Pune,Dr. M.A.Khan College of Education (B.Ed.) Sultanpur Road A/p-MancharTal- Ambegaon Dist -Pune Pin-,sjm03002manchar@gmail.com,02133-225030,02133-225030,9960759345,Dr. Daundkar Kailas Sahebrao,Non-Aided
251,Radhabai Kale Mahila Mahavidyalaya Ahmednagar.,Savitribai Phule Pune University Pune,Ahmednagar,Ahmednagar,Girls,Urban,No,Select,Pune,Opp. Tarakpur S.T. StandAhmednagar414001Opp. Tarakpur S.T. StandAhmednagar414001,prinrkmm_anr@rediffmail.com,0241-2430318,0241-2430318,9029075387,Dr.Shankar Ramchandra Thopate,Aided
252,Vidya Prasarak Mandal Kinhavali Sanchalit Law College Tal.Shahapur Dist. Thane,Mumbai University Mumbai,Thane,Shahapur,Co-Education,Rural,No,Select,Panvel,Kinhavali Tal. ShahapurDist.Thane,vpmlawcollege21@gmail.com,,-9324583416,9324583416,Priti Aniket Wagale,Non-Aided
253,Shri Mathura Mohta Science College Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,Shri Mathuradas Mohota College of ScienceSakkardara Square Umred Road,mohotacollege@yahoo.co.in,0712-2744992,0712-2744992,9890943225,Dr. Jeevan R. Dontulwar,Aided
254,Swami Vivekananda Mahavidyalay Deolapar.,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Nagpur,Ramtek,Co-Education,Tribal,No,Select,Nagpur,At Post DeolaparTal Ramtek,svsssedu@gmail.com,91-9403267081,91-9403267081,8275282541,Jagannath Laxman Garat,Non-Aided
255,Siddhi Education Trust’s Bhanwadi Arjundas Talreja College of Arts Commerce & Science,Mumbai University Mumbai,Thane,Ambarnath,Co-Education,Urban,Yes,Linguistic,Panvel,503 Anmol Ratan Nr Seva Niketan HospitalUlhasnagar 421003,talrejamanish4@gmail.com,91-9822016695,91-9822016695,9860420655,Mrs. Neha Ruchandani,Non-Aided
256,Devgiri Mahila Mahavidyalaya Khaparpangri,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Beed,Beed,Girls,Rural,No,Select,Aurangabad,Khapar pangri Beed,deogiricollegebeed@gmail.com,9673121111,-9673121111,9673121111,KRANTI PRALHAD UGALE,Non-Aided
257,Commerce Management & Computer Science (CMCS) College,Savitribai Phule Pune University Pune,Nashik,Nashik,Co-Education,Urban,No,Select,Pune,Udoji maratha Boarding CampusFront of Prasad Mangal Karyalaya Gangapur RoadNashik-13,cmcsnashik@gmail.com,0253-2318027,0253-2318027,9405780187,Dr.Ravindrakumar D.Patil,Non-Aided
258,Kopergaon Taluka Vidyarthi Sahayyak Samiti Sw.Shri.Namdevrao Parjane Patil Law College,Savitribai Phule Pune University Pune,Ahmednagar,Kopargaon,Co-Education,Rural,No,Select,Pune,Infront of kopargaon court Kopargaon Tal- Kopargaon Dist:- Ahmednagar Pin - 423601,kopargaon223015@gmail.com,02423-223015,02423-223015,9370228135,Prof. Ghode N.N.,Non-Aided
259,Shahid Shikshan Prasarak Mandal Shahid Veerpatni Laxmi MahavidyalayaTitave Radhanagari Kolhapur,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Kolhapur,Radhanagari,Girls,Rural,No,Select,Kolhapur,AP TITAVE TAL RADHANAGARIDIST KOLHAPUR,svlm.titave@gmail.com,02321-253471,02321-253471,7218180066,Prashant Maruti Palkar,Non-Aided
260,Shri Sant Janabai Edu. Soc. Arts Comm. & Sci. college Gangakhed Dist. Parbhani,Swami Ramanand Teerth Marathwada University Nanded,Parbhani,Gangakhed,Co-Education,Rural,No,Select,Nanded,Kodri Road Gangakhed Pin Code 431514,acscgkd@yahoo.com,02453-222048,02453-222048,9822937768,Dr.B. M. Dhoot,Aided
261,Rayat Shikshan Sanstha's ArtsScience & Commerce CollegeMokhada Tal : Mokhada Dist : Thane,Mumbai University Mumbai,Palghar,Mokhada,Co-Education,Tribal,No,Select,Panvel,TALUKA - MOKHADA DISTRICT - PALGHAR PIN CODE -401604,asccmokhada@gmail.com,2529256628,022-27452561,,DR.MUNDHE E.S.,Aided
262,St. Xavier's College Autonomous,Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,Yes,Religious,Mumbai,5 Mahapalika MargSt. Xavier's Chowk,webadmin@xaviers.edu,022-22620661,022-22620661,9819100131,Dr. Rajendra D. Shinde,Aided
263,M. B. Patel College Salekasa Dist. Gondiya.,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Salekasa,Co-Education,Rural,Yes,Religious,Nagpur,Mokshdham RoadSalekasa,mbpsalekasa@rediffmail.com,7180244177,0982-3072053,9922157815,Dr.LH.JIWANI,Aided
264,BV New Law College Pune,Bharati Vidyapeeth University,Pune,Haveli,Co-Education,Urban,No,Select,Pune,New Law College BVDU Erandawne CampusNear More Vidyalay Paud Road Pune-411038,ujwala.bendale@bharatividyapeeth.edu,020-25444616,020-25444616,9970183227,Dr. Ujwala Shaligram Bendale,Aided
265,Kakasaheb Chavan Mahavidyalaya TALMAVALE 415 103 Po-SaikadeTal-PatanDist-Satara,Shivaji University Kolhapur,Satara,Patan,Co-Education,Rural,No,Select,Kolhapur,At/Post:- Talmavale Tal:- Patan Dist.:-Satara 415 103,kcc.talmavale@gmail.com,02372-272060,02372-272060,9637448055,Dr Arun Ramchandra Gade,Aided
266,D.M.E.S. Arts College Amalner,Kavayitri Bahinabai Chaudhari North Maharashtra University Jalgaon,Jalgaon,Amalner,Co-Education,Urban,No,Select,Jalgaon,post box no.50dhekusim road,dmescollege@gmail.com,02587-228036,02587-228036,9423582073,Dr. Pramod Manohar Pawar,Aided
267,S. R. B. Mahavidhlaya Salakasa,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,GONDIA,Salekasa,Girls,Rural,Yes,Religious,Nagpur,In fornt of Govt. ITI Darekasa road SalekasaIn fornt of Govt. ITI Darekasa road Salekasa,srb.college@rediffmail.com,91-9422834221,91-9422834221,9422834221,Dr. Nikhila B. Paranjpe,Non-Aided
268,Arts Commerce College Jawaharnagar Bhandara,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Bhandara,Co-Education,Rural,No,Select,Nagpur,Arts & Commerce degree College Petrol Pump Jawaharnagar NH No.6 Tha.Dist. Bhandara MS Pin 441906,accjbhandara@rediffmail.com,07184-276929,07184-276929,9422834230,Dr. A.S.Mohabansi,Aided
269,Shri Saibaba Lokprabhodhan Coll Badner Tal Hinganghat Dist Wardha,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Wardha,HINGANGHAT,Co-Education,Rural,No,Select,Nagpur,National Highway No.7At.Po. Wadner Tah. Hinganghat. Dist. Wardha,saicollege@rediffmail.com,07153-255655,07153-255655,9921436640,Dr. U.B. Parekar,Aided
270,shree Yashwantrao patil science collage solankur,Shivaji University Kolhapur,Kolhapur,Radhanagari,Co-Education,Rural,No,Select,Kolhapur,AT/POST SOLANKUR TAL-RADHANAGARI DIS-KOLHAPUR,ypvmsolankur@gmail.com,02321-231561,02321-231561,8390859893,I/C CHOUGALE GURUNATH GANPATI,Aided
271,Dnyankunj College of infiormation Technology,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Sindhudurg,Kudal,Girls,Rural,No,Select,Panvel,at psot oros tal kudal Dist Sindhudurg,dnyankunjcollege@gmail.com,02362-228428,02362-228761,9890926223,Shubhada Babarao Gangale,Non-Aided
272,Shankarrao Jawale-Patil Mahavidyalaya Tq. Lohara Dist. Osmanabad,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Osmanabad,Lohara,Co-Education,Rural,No,Select,Aurangabad,At Post. Lohara Ta.Lohara Dist. OsmanabadAt Post. Lohara Ta.Lohara Dist. Osmanabad,sjpm_lohara@rediffmail.com,2475299113,91-9421094388,9422002567,Dr. Vinayak Uddhavrao Patil,Aided
273,Shrimant RajeRaul Mahavidyalay Dondaicha Tal- Shindkhed Dist-Dhule 425408,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Dhule,Sindhkheda,Co-Education,Rural,No,Select,Jalgaon,Dadanagar Dadasaheb Rawal Knowledge city Mandal Road DondaichaDadanagar Dadasaheb Rawal Knowledge c,Vishwaprem.64@rediffmail.com,02566-245093,02566-245093,9422795625,Shri. Dipak Dagesing Rajput,Non-Aided
274,Adv. Balasaheb Apte College of Law,Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,No,Select,Mumbai,Principal N.M. Kale Marg off Gokhale RoadSouth Dadar (W) Mumbai - 400 028,abacollegeoflaw@gmail.com,2224370421,022-24370421,8356829964,Shitala Shreekant Gavand,Non-Aided
275,College of Education Naigaon,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Naigaon Khairgaon,Co-Education,Rural,No,Select,Nanded,A/P.NAIGAON(BZ). TQ. NAIGAON(KH). DIST. NANDED.PINCODE.431709,naigaon_07018_bed@yahoo.com,02465-263040,02465-263040,7385140452,Dr. Mane M.S.,Non-Aided
276,Anjuman Moinut Tulba's Malegaon Senior College of Arts Science and Commerce Malegaon,Savitribai Phule Pune University Pune,Nashik,Malegaon,Co-Education,Urban,Yes,Religious,Pune,S.No. 168/1 Nayapura Ward Raunaqabad Malegaon Dist. Nashik,amt.malegaonsc@gmail.com,2554235025,91-9860205656,9823017444,Prof. Ziyaurrahman Mohammed Ishaque,Non-Aided
277,Chintamanrao Institute of Management and Research C/o Chintamanrao College of Commerce SANGLI,Shivaji University Kolhapur,Sangli,Miraj,Co-Education,Urban,No,Select,Kolhapur,Post office Willingdon College Vishrambag SANGLI- 416415,cimdr190.cl@unishivaji.ac.in,0233-2601040,0233-6605100,9225340992,Dr. Rajankumar Kamalakar Shrikhande,Non-Aided
278,Indirabai Meghe Mahila Mahavidyalaya Amravati.,Sant Gadge Baba Amravati University Amravati,Amravati,Amravati,Girls,Urban,No,Select,Amravati,Infront of Govt. I.T.I. Irwin chowkMorshi road Amravati (Maharashtra) 444 602,imc.amt@gmail.com,0721-2991419,0721-2020601,9823141435,Dr. Seema B.Adhau,Aided
279,Shri chinai College of Commerce & Economics,Mumbai University Mumbai,Mumbai Suburban,Andheri,Co-Education,Urban,No,Select,Mumbai,Dr.S.Radhakrishnan Marg Andheri(East)Mumbai 400069,shrichinaicollege_1963@yahoo.co.in,2266992025,091-8097735771,9699213676,Dr. B.B.Kamble,Aided
280,Late Madhvrao Tidke Sharirik Shikshan Mahavidyalaya Mouda Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Mauda,Co-Education,Rural,No,Select,Nagpur,Mouda Near Bus Stand of Mouda,lmtssm352@gmail.com,91-9823070815,91-9823070815,91-982307081,Dr Chandrakant Sriram Duble,Non-Aided
281,Balivansh College of Yoga Naturopathy and Hottel Manegement Chandrapur,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Chandrapur,Chandrapur,Co-Education,Rural,No,Select,Nagpur,Chargaon Road MorwaPost Tadali Dist Chandrapur,archana.dilip@gmail.com,-9049069801,-9049069801,8855956464,Archana H. Mate,Non-Aided
282,Babuji Avhad Mahavidyalaya Pathardi,Savitribai Phule Pune University Pune,Ahmednagar,Pathardi,Co-Education,Rural,No,Select,Pune,Pathardi Dist.AhmednagarPathardi Dist.Ahmednagar,babujiavhadcollege@gmail.com,02428-222349,02428-222349,9421067414,Dr.G.P.Dhakane,Aided
283,Priti Academy Eduation Society's Priti Academy Law College,Mumbai University Mumbai,Thane,Kalyan,Co-Education,Rural,Yes,Linguistic,Panvel,KALYAN MURBAD ROAD MHARAL OPP. Regency Antila Mharal,pritiacademylawcollege5000@gmail.com,-9049539960,-9049539960,9765105000,Deepak Meshram,Non-Aided
284,K. K. Mahavidyalay Kosamtondi Tal- Sadak Arjuni,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,GONDIA,Sadak Arjuni,Co-Education,Rural,No,Select,Nagpur,K. K. Mahavidyalay At.Po. Kosamtondi Ta. Sadak Arjuni,sandeepraut358@gmail.com,-,-9579405110,7020934604,Hemchand Khobragade,Non-Aided
285,Nirmalatai Kakade Arts Commerce and Science Shevgaon,Savitribai Phule Pune University Pune,Ahmednagar,Shevgaon,Co-Education,Urban,No,Select,Pune,Vidyanagari Gadage Baba ChawkPathardi Road ShevgaonTal.Shevgaon Dist.Ahemdnagar,nirmalataicollege21@gmail.com,9049381680,-9623363073,8459751868,Dr.Pandurang Ashok Dukale,Non-Aided
286,Yeshwantrao Chavan Arts Commerce & Science College Ambajogai,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Beed,Ambajogai,Co-Education,Rural,No,Select,Aurangabad,Main Road Ramai Chowk Ambajogai,yccambajogai@mspmandal.in,02446-247049,02446-247049,9960142155,Dr. Shivdas Zulal Shirsath,Aided
287,Swami Vivekanand College of Special Education,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,GURUDEO NAGAR ISHWAR NAGAR CHOWKRAMNA MAROTI ROAD,rvkss_sec@rediffmail.com,0712-6955700,0712-6955700,9579320544,NAESH NAKAM,Non-Aided
288,Bharatiya Gyanvardhini Sabha Kantilal Khinwasara B.Ed. College,Savitribai Phule Pune University Pune,Pune,Mulshi,Co-Education,Urban,Yes,Linguistic,Pune,Laxman Nagar Thergaon Pune-33,kkbedpune@gmail.com,020-27276785,020-32327840,992258317,Dr. Nirmala Tapkeer,Non-Aided
289,VAIDEHI VISHNU SARAF MAHAVIDYALAYA AKOLA,Sant Gadge Baba Amravati University Amravati,Akola,Akola,Co-Education,Urban,No,Select,Amravati,OPP. BIRALA RAM MANDIR SATAV CHOUKJATHARPETH AKOLA.444005,vvsmakola@gmail.com,,0724-2490116,9011091807,Mr. Sanjay S. Gotphode,Non-Aided
290,Sacchidanand Fulekar Art College Tumsar,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Tumsar,Co-Education,Urban,No,Select,Nagpur,Kumbhare NagarTumsarTh. Tumsar Dist - Bhandara,psfartscollege@gmail.com,9970276987,-9404310649,9970276987,Prof. Siddharth D. Dhoke,Non-Aided
291,H B T Arts & Commerce College Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Co-Education,Urban,No,Select,Nagpur,7 New Subhedar layout Nagpur-24.,hbtaccollegenagpur@gmail.com,0712-2744617,0712-2744617 Mob.No. 9823113465,8766475510,Dr. Vijay R. Bagde,Aided
292,Shri Shivaji Arts & Commerce College Amravati,Sant Gadge Baba Amravati University Amravati,Amravati,Amravati,Co-Education,Urban,No,Select,Amravati,shivaji nagar morshi road amravati,ssacc102@sgbau.ac.in,0721-2660510,0721-2660510,9881023363,Dr. R.M.Bhise,Aided
293,New Kohinoor College of ArtsCom & Science CHOWKAAurangabad (A. MINORITY INSTITUTION),Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Rural,Yes,Religious,Aurangabad,At Post CHOWKA Tal & Dist Aurangabad,nkcadm@rediffmail.com,7378670084,02437-241782,9689207885,Dr. Shaikh Arif Tajooddin,Non-Aided
294,Mahatma Phule Education Society's College of Arts & Commerce (Night),Mumbai University Mumbai,Mumbai City,Mumbai City,Co-Education,Urban,No,Select,Mumbai,jerbai wadia rd bhoiwada parel (e)' Mumbai - 400 012.Jerbai Wadia RdBhoiwada Parel (E) ; Mumbai,mpesnight@gmail.com,9167553074,022-64573459,9223232699,Mr Dilipkumae Kamble,Non-Aided
295,National ArtsCommerce & Science College,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Sillod,Co-Education,Rural,Yes,Religious,Aurangabad,Near M.S.E.Board.At.Post. Bharadi.Tq. Sillod. Di.Aurangabad.Pin code 431113,ncbharadi308@gmail.com,02430-281282,2430-281282,9423193231,Dr. Pathan A.M.,Non-Aided
296,S.B.Mahila College Nagpur,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Nagpur,Nagpur Urban,Girls,Urban,No,Select,Nagpur,Pataleshwar Road MahalPataleshwar Road Mahal,sbmm1961@gmail.com,0712-2722860,0712-2722860,9284126973,Dr. Ujwal A. Lanjewar,Aided
297,College of Education Gangakhed,Swami Ramanand Teerth Marathwada University Nanded,Parbhani,Gangakhed,Co-Education,Rural,No,Select,Nanded,BANJARA COLONY GANGAKHEDBANJARA COLONY GANGAKHED,bedcollegegkd@gmail.com,00000000-,00000000-9922824968,9922824968,Dr Rakh C S,Non-Aided
298,Dr. Babasaheb Nandurkar college of Physical Education Yavatmal,Sant Gadge Baba Amravati University Amravati,Yavatmal,Yavatmal,Co-Education,Rural,No,Select,Amravati,Shri Satya Sai Krida NagariWaghapur Road,nandurkar_college@rediffmail.com,07232-247678,07232-247678,9011503530,Dr. Prakash B. Nandurkar,Non-Aided
299,Mukud Mahavidhyalya Dighori(Mothi),Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Lakhandur,Co-Education,Rural,No,Select,Nagpur,At-Post- Dighori(Mothi)At-Post- Dighori(Mothi),renock6@gmail.com,9764065996,-9404223556,9764065996,PRO.KU.RAJANI M. SONONE,Non-Aided
300,Women's B.Ed. CollegeBeed,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Beed,Beed,Girls,Urban,No,Select,Aurangabad,HANUMAN MANDIR ROADSHAHU NAGAR BEED,karmveerbeed@gmail.com,2442227955,-9623080917,9422718283,Shinde S.B,Non-Aided
301,Sant Gajanan Maharaj Art and Commerce Mahavidyalata,Gondwana University Gadchiroli,Chandrapur,Saoli,Co-Education,Rural,No,Select,Nagpur,PENDHARI MAKTA TASAOLI DIST CHANDRAPUR,nareshba007@gmail.com,7174204532,"-967,393,944,894,217,000,000,000,000,000",9421955715,DR.K.A.SHENDE,Non-Aided
302,SANT KURIAKOSE ELIAS CHAVARA B.Ed.COLLEGE,Gondwana University Gadchiroli,Chandrapur,Ballarpur,Co-Education,Rural,Yes,Religious,Nagpur,NEAR MONTFORT ITI P.B.NO.12 BAMNI Ballarpur Dist : Chandrapur. Pin - 442701,santchavarabedcollege@gmail.com,07172-242766,07172-242766,9730740751,DR.MARTIN GEORGE,Non-Aided
303,Chintamanrao College of Commerce SANGLI-416 415,Shivaji University Kolhapur,Sangli,Miraj,Co-Education,Urban,No,Select,Kolhapur,Sangli Miraj Road Opp. Walchand College of Engineering College 416415,chintamancollege1@gmail.com,0233-2601362,0233-6605200,9225340978,Dr. S. V. Waghmare,Aided
304,People College Nanded,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Nanded,Co-Education,Urban,No,Select,Nanded,Snehnagar Nanded-431605Snehnagar Nanded-431605,prinpcn2011@gmail.com,02462-251891,02462-251891,9423136049,Dr.R.M. Jadhav,Aided
305,Sahyadri Shikshan Seva Mandal’s Collge of Arts & Commerce at Juchandra Tal. Vasai Dist. Thane – 40,Mumbai University Mumbai,Palghar,Vasai-Virar,Co-Education,Rural,No,Select,Panvel,Sahyadri Shikshan Seva Mandal Arts and COmmerce College behind karmveer bhaurao patil school juc,admin@sssm.co.in,,-8149974905,8149974905,Dr( C.S) Lalita Mutreja,Non-Aided
306,Swargiya Wacchalabai Mamulkar Prashaskiya Mahavidyalaya Murmmadi (Tupkar) Lakhani Dist. Bhandara,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Bhandara,Lakhni,Co-Education,Rural,No,Select,Nagpur,Murmadi(tupkar) Ta. Lakhani Dist. Bhandara,murmadipsm2018@gmail.com,9325378444,-9325378444,9325378444,Mr.Bhojraj Lanjewar,Non-Aided
307,mata jagdamba mahila mahavidylay vairagad tal armori dist- gadchiroli,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Gadchiroli,Armori,Girls,Tribal,No,Select,Nagpur,At Vairagad,skkca030@gamil.com,9527829086,91-9637785907,9420845675,Shri Sushil B Khoragade,Non-Aided
308,New Satara College of BCA Pandharpur,Punyashlok Ahilyadevi Holkar Solapur University Solapur,Solapur,Pandharpur,Co-Education,Urban,No,Select,Solapur,New Solapur Road Opp. Reliance Petrol Pump Pandhapur,newsatarabca@gmail.com,02186-282121,02186-282121,9225538306,Dr..Tantak N.N.,Non-Aided
309,Arts & Science College Kamargaon,Sant Gadge Baba Amravati University Amravati,Washim,Karanja Lad,Co-Education,Rural,No,Select,Amravati,KAMARGAON 444110,asc_kamargaon@rediffmail.com,9421740884,07256-235297,9421740884,DR. UDDHAV R. JANE,Aided
310,Ideal Foundation's Ideal College of Arts Commerce & Science,Mumbai University Mumbai,Palghar,Vada,Co-Education,Rural,No,Select,Panvel,At Post - Posheri Taluka- Wada District- Palghar Maharashtra 421303,idealacs2020@gmail.com,02526-7738327632,02526-7738327632,8329987529,Dr. Prerna Sharma,Non-Aided
311,Ramrao Adik Education Society`s Padmashree Dr.D.Y.Patil Law College Nerul Navi Mumba,Mumbai University Mumbai,Thane,Thane,Co-Education,Urban,No,Select,Panvel,Vidya Nagar  Sector- 7,drajaypatil_law@dypic.in,022-30965935,022-30965935,9833377734,Dr.Ajay Waman Patil,Non-Aided
312,Late Harishchandra Patil Sawarbandhe Art'sComm&sci College Pauni,Rashtrasant Tukdoji Maharaj Nagpur University Nagpur,Bhandara,Pauni,Co-Education,Urban,No,Select,Nagpur,AT-Pauni Dist-BhandaraAT-Pauni Dist-Bhandara,lt.hpscollegepauni@gmail.com,-262710,-262710,9960405855,PROF- MONISH RAMESH APURKAR,Non-Aided
313,Swami Vivekanand Mahavidyalaya Mukaramabad,Swami Ramanand Teerth Marathwada University Nanded,Nanded,Mukhed,Co-Education,Rural,No,Select,Nanded,SWAMI VIVEKANAND MAHAVIDYALAYA MUKRAMABAD TQ. MUKHED DIST NANDED. 431719SWAMI VIVEKANAND MAHAVIDYAL,svcollegembad@yahoo.in,2461267009,-9766888872,9766888872,Dr. Vivek Gangadhar Inamdars,Aided
314,Parvati Mahavidyalay Tal-Goregaon Dist-Gondia 441801,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,GONDIA,Goregaon,Co-Education,Rural,No,Select,Nagpur,Near Railway station sarja lawn jagat colledge road Goregaon,shrileela_comp@rediffmail.com,,91-9049759187,9049759187,Lileshwar Dhanlal Rahangdale,Non-Aided
315,KAMDHENU BAHUUDDESHIYA SEVABHAVI SANSTHA'S B.ED COLLEGE,Dr.Babasaheb Ambedkar Marathwada University Aurangabad,Aurangabad,Aurangabad,Co-Education,Urban,No,Select,Aurangabad,gat no 238/50 Jatwada Road,ghugednyandeo@rediffmail.com,0240-2101081,0240-2101081/2100600,7875414532,Mr.DNYANDEO DHONDIBA GHUGE,Non-Aided
316,Matoshri Mahila Mahavidyalay Jalna,Smt. Nathibai Damodar Thakersey Women's University Mumbai,Jalna,Jalna,Girls,Urban,No,Select,Aurangabad,Double Jin old Jalna.,matoshri3535@gmail.com,8308742111,-7304772999,9423343535,Kanchan D. Mulay,Non-Aided
317,Universal Society for Quality Education & Research IreneInstitute of Education and Research Shri. K,Mumbai University Mumbai,Thane,Kalyan,Co-Education,Urban,Yes,Religious,Panvel,Dr.Ambedkar Road Near Pathare Nursary Opp. Shivaji Chowk Kalyan (W) 421301,ireneinstitute@gmail.com,0251-2350922,0251-2350922,9820281960,Dr. G.B. Patil,Non-Aided
318,Dr. Milind Bimbe College Raver Sawda Road Raver,Kavi Kulguru Sanskrit Vishwavidyalaya Ramtek,Jalgaon,Raver,Co-Education,Urban,No,Select,Jalgaon,Savda Road Raver Tal. Raver Dist. Jalgaon 425508,dmbraver@gmail.com,91-9766292211,91-9766292211,9284034193,Dr. Milind Bimbe,Non-Aided
